repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
FaridSafi/react-native-gifted-chat,2023-05-03 00:00:00+00:00,ok,2015-11-14 15:45:34+00:00,True,True
tangshimin/MuJing,2024-04-22 00:00:00+00:00,ok,2023-02-10 06:21:37+00:00,True,True
Devolutions/UniGetUI,2022-09-05 00:00:00+00:00,ok,2021-06-15 12:57:58+00:00,True,True
pytorch/vision,2020-09-22 00:00:00+00:00,ok,2016-11-09 23:11:43+00:00,True,True
brainspec/enumerize,2021-07-14 00:00:00+00:00,ok,2012-01-25 10:31:04+00:00,True,True
chalk/chalk,2021-01-02 00:00:00+00:00,ok,2013-08-03 00:20:12+00:00,True,True
raysan5/raylib,2019-12-04 00:00:00+00:00,ok,2013-10-24 15:46:04+00:00,True,True
File-New-Project/EarTrumpet,2020-02-24 00:00:00+00:00,ok,2015-07-11 08:43:37+00:00,True,True
padrino/padrino-framework,2024-01-24 00:00:00+00:00,ok,2009-11-18 00:33:56+00:00,True,True
rebing/graphql-laravel,2019-11-27 00:00:00+00:00,ok,2016-09-19 10:28:28+00:00,True,True
bpampuch/pdfmake,2020-12-28 00:00:00+00:00,ok,2014-01-21 16:00:18+00:00,True,True
Effect-TS/effect,2025-01-03 00:00:00+00:00,ok,2019-11-13 12:49:21+00:00,True,True
Seldaek/monolog,2020-12-09 00:00:00+00:00,ok,2011-02-17 02:07:15+00:00,True,True
contribsys/einhorn,2022-07-13 00:00:00+00:00,ok,2012-05-25 00:03:23+00:00,True,True
luanti-org/luanti,2020-04-20 00:00:00+00:00,ok,2011-08-07 13:48:36+00:00,True,True
Jeric-X/SyncClipboard,2022-04-22 00:00:00+00:00,ok,2017-05-14 14:44:21+00:00,True,True
hashicorp/hcl,2022-02-15 00:00:00+00:00,ok,2014-07-31 21:09:00+00:00,True,True
SanderMertens/flecs,2020-06-25 00:00:00+00:00,ok,2018-08-26 05:53:05+00:00,True,True
dbt-labs/dbt-core,2021-06-02 00:00:00+00:00,ok,2016-03-10 02:38:00+00:00,True,True
rook/rook,2020-05-28 00:00:00+00:00,ok,2016-07-08 22:45:05+00:00,True,True
NLnetLabs/unbound,2021-06-23 00:00:00+00:00,ok,2017-06-13 09:27:49+00:00,True,True
riscv-collab/riscv-gnu-toolchain,2020-09-08 00:00:00+00:00,ok,2014-09-08 05:22:03+00:00,True,True
licensee/licensed,2019-08-21 00:00:00+00:00,ok,2018-02-02 22:46:45+00:00,True,True
ntop/nDPI,2020-04-18 00:00:00+00:00,ok,2015-04-19 04:56:52+00:00,True,True
Kotlin/kmp-production-sample,2025-06-13 00:00:00+00:00,ok,2020-09-14 12:35:38+00:00,True,True
k3d-io/k3d,2020-11-03 00:00:00+00:00,ok,2019-04-02 11:30:11+00:00,True,True
alibaba/MNN,2022-08-25 00:00:00+00:00,ok,2019-04-15 07:40:18+00:00,True,True
OpenMined/PySyft,2025-08-22 00:00:00+00:00,ok,2017-07-18 20:41:16+00:00,True,True
natemcmaster/CommandLineUtils,2021-01-10 00:00:00+00:00,ok,2017-08-15 18:32:24+00:00,True,True
aquasecurity/tfsec,2020-10-27 00:00:00+00:00,ok,2019-03-04 16:56:59+00:00,True,True
khellang/Scrutor,2022-05-23 00:00:00+00:00,ok,2015-11-14 01:26:41+00:00,True,True
android/architecture-samples,2020-09-29 00:00:00+00:00,ok,2016-02-05 13:42:07+00:00,True,True
doctrine/dbal,2020-04-14 00:00:00+00:00,ok,2010-05-20 17:01:42+00:00,True,True
apache/dubbo-go,2020-09-11 00:00:00+00:00,ok,2018-08-08 05:30:36+00:00,True,True
snabbdom/snabbdom,2021-02-16 00:00:00+00:00,ok,2015-05-09 20:25:10+00:00,True,True
panda-re/panda,2020-02-03 00:00:00+00:00,ok,2013-08-23 19:26:40+00:00,True,True
gulpjs/gulp,2024-03-25 00:00:00+00:00,ok,2013-07-04 05:26:06+00:00,True,True
benfred/py-spy,2021-01-16 00:00:00+00:00,ok,2018-08-01 02:22:15+00:00,True,True
DatabaseCleaner/database_cleaner,2022-01-14 00:00:00+00:00,ok,2009-03-05 06:08:15+00:00,True,True
Semantic-Org/Semantic-UI-React,2020-07-22 00:00:00+00:00,ok,2015-06-19 16:47:19+00:00,True,True
doctrine/lexer,2020-12-01 00:00:00+00:00,ok,2013-01-12 18:58:26+00:00,True,True
Sigil-Ebook/Sigil,2021-02-07 00:00:00+00:00,ok,2013-09-15 15:41:20+00:00,True,True
