treated_repo,control_repo,language,adoption_date,adoption_month,treated_created_at,control_created_at,metadata_distance,treated_pre_commits,control_pre_commits,treated_age_at_index_days,control_age_at_index_days,diff_log_pre_commits,diff_age_days,refined_distance
developit/microbundle,gregberge/loadable-components,JavaScript,2020-01-08 00:00:00+00:00,2020-01-01,2017-12-11 21:51:02,2017-06-23 07:51:02,0.11334078373495964,167,148,750,921,0.12001767345779957,171,1.3137333073945976
shadowsocks/shadowsocks-rust,redox-os/redox,Rust,2020-08-06 00:00:00+00:00,2020-08-01,2014-10-15 11:02:36,2015-04-20 17:35:19,0.641088328012442,426,407,2116,1929,0.045516838824463335,187,1.3345403351661207
jaredpalmer/razzle,luin/medis,JavaScript,2019-11-13 00:00:00+00:00,2019-11-01,2016-02-10 18:34:27,2015-10-12 14:19:35,0.14727607837109494,70,54,1359,1480,0.2553466918088443,121,1.3953620055916858
cypriss/mutations,freshshell/fresh,Ruby,2021-01-08 00:00:00+00:00,2021-01-01,2012-10-19 19:38:09,2012-09-03 23:49:29,0.32612902312398195,20,28,2995,3041,0.32277339226305113,46,1.4320947413253213
android/architecture-samples,drakeet/MultiType,Kotlin,2020-09-29 00:00:00+00:00,2020-09-01,2016-02-05 13:42:07,2016-08-03 12:55:32,4.734570719040621,21,25,1669,1489,0.16705408466316607,180,1.4613134866263084
oskardudycz/EventSourcing.NetCore,stefanprodan/AspNetCoreRateLimit,C#,2019-08-28 00:00:00+00:00,2019-08-01,2017-01-28 11:21:53,2016-07-20 20:38:36,0.31949346439299214,31,37,914,1106,0.17185025692665912,192,1.5453822297618907
univrsal/input-overlay,jupyter-xeus/xeus-cling,C++,2020-06-21 00:00:00+00:00,2020-06-01,2017-08-11 00:59:28,2017-04-20 15:35:44,0.3737746995480465,66,92,1024,1137,0.32790687376229055,113,1.6260533689610062
nissl-lab/npoi,NLog/NLog,C#,2023-04-13 00:00:00+00:00,2023-04-01,2013-01-02 00:59:05,2012-09-12 13:49:29,0.12180874640035025,259,186,3740,3852,0.32957301416094076,112,1.6288938410750722
apache/pulsar,material-components/material-components-android,Java,2019-12-09 00:00:00+00:00,2019-12-01,2016-06-28 07:00:03,2016-12-05 16:11:29,0.26374046457897216,1522,1150,1250,1090,0.28005094417327925,160,1.6553094487986502
clue/stream-filter,symfony/polyfill-iconv,PHP,2021-03-29 00:00:00+00:00,2021-03-01,2015-10-17 17:03:11,2015-10-22 12:57:13,0.2727157009166033,14,21,1961,1956,0.382992252256106,5,1.6553998334020152
onnxsim/onnxsim,microsoft/SPTAG,C++,2022-02-26 00:00:00+00:00,2022-02-01,2019-04-01 10:12:34,2018-09-12 10:42:51,0.4336934651568744,25,32,1036,1237,0.2384110234449981,201,1.7533856700675523
remoteintech/remote-jobs,jondot/awesome-react-native,JavaScript,2020-10-21 00:00:00+00:00,2020-10-01,2015-10-13 03:49:25,2015-03-26 19:58:06,0.25828960757827324,112,144,1814,2015,0.24934592370823339,201,1.781560665296011
Zylann/godot_voxel,KDE/kdeconnect-kde,C++,2020-09-07 00:00:00+00:00,2020-09-01,2016-05-01 21:44:28,2015-09-18 13:58:52,0.22006928453626004,313,377,1583,1809,0.18550120971133488,226,1.7853303147309454
subframe7536/maple-font,BlinkDL/RWKV-LM,Python,2024-12-03 00:00:00+00:00,2024-12-01,2022-04-08 15:51:22,2021-08-08 06:05:27,1.0095268505177413,157,137,967,1210,0.13534134786976182,243,1.812217472072896
spatie/laravel-sluggable,rinvex/countries,PHP,2019-12-06 00:00:00+00:00,2019-12-01,2015-12-23 21:49:47,2016-08-18 23:21:22,0.22332620583506138,45,38,1438,1199,0.16507975035944877,239,1.8316390373220337
badoo/MVICore,rosuH/AndroidFilePicker,Kotlin,2022-08-03 00:00:00+00:00,2022-08-01,2018-03-12 21:50:29,2018-11-24 02:53:29,0.33761958442673135,16,14,1602,1345,0.1251631429540061,257,1.8929845831815424
lysine-dev/okio,iSoron/uhabits,Kotlin,2020-05-25 00:00:00+00:00,2020-05-01,2014-03-17 00:02:59,2014-11-08 11:07:12,0.18235559625645462,115,143,2236,2000,0.21622310846963622,236,1.9099889905081584
Shopify/job-iteration,truemail-rb/truemail,Ruby,2021-02-19 00:00:00+00:00,2021-02-01,2018-06-13 11:01:27,2019-03-04 10:29:42,0.19144870604470005,31,35,963,699,0.11778303565638337,264,1.9317399132537374
chrome-php/chrome,rajkumardusad/IP-Tracer,PHP,2020-12-08 00:00:00+00:00,2020-12-01,2017-11-17 12:08:46,2018-08-06 09:02:10,0.35402473437555754,14,12,1109,847,0.14310084364067333,262,1.9500110695824275
godotengine/godot,v8/v8,C++,2020-07-12 00:00:00+00:00,2020-07-01,2014-01-04 16:05:36,2014-09-24 15:24:30,3.1729215045661405,7108,6168,2369,2106,0.14182483671984336,263,1.9549710690498863
ffuf/ffuf,inancgumus/learngo,Go,2020-10-03 00:00:00+00:00,2020-10-01,2018-11-08 09:25:49,2018-10-15 11:12:00,0.8080316531388875,81,51,692,716,0.4554755286828258,24,1.975522402215004
btraceio/btrace,CellularPrivacy/Android-IMSI-Catcher-Detector,Java,2019-10-25 00:00:00+00:00,2019-10-01,2014-08-28 18:58:24,2013-11-23 10:04:14,0.2065381272467653,25,27,1859,2137,0.07410797215372167,278,1.9882620587232538
javalin/javalin,kickstarter/android-oss,Kotlin,2019-09-18 00:00:00+00:00,2019-09-01,2017-04-02 20:01:28,2016-12-12 17:15:41,0.7833742898302657,394,253,881,992,0.4415514978825854,111,2.062677587756305
TNG/ArchUnit,proninyaroslav/libretorrent,Java,2020-01-22 00:00:00+00:00,2020-01-01,2017-04-21 08:39:20,2016-10-18 15:38:44,0.16019892640175765,255,173,984,1169,0.3861221452650332,185,2.1187958474691464
amacneil/dbmate,jpbruinsslot/slack-term,Go,2020-08-07 00:00:00+00:00,2020-08-01,2015-11-25 18:58:30,2016-09-11 15:42:42,0.5767586274829074,28,32,1710,1419,0.1292117314800061,291,2.1286029383077563
