treated_repo,control_repo,adoption_date,reference_month
brooklynDev/airborne,microsoft/Windows-universal-samples,2023-01-12 00:00:00+00:00,2023-01-01
statsd/statsd,vektah/CodeGlance,2023-05-10 00:00:00+00:00,2023-05-01
prettier/plugin-php,freshshell/fresh,2020-01-02 00:00:00+00:00,2020-01-01
reactjs/react-modal,ogham/dog,2022-11-24 00:00:00+00:00,2022-11-01
gleitz/howdoi,tmk/tmk_keyboard,2020-08-07 00:00:00+00:00,2020-08-01
apache/dubbo-spring-boot-project,davidfowl/AspNetCoreDiagnosticScenarios,2021-03-20 00:00:00+00:00,2021-03-01
mmp/pbrt-v4,Unity-Technologies/FPSSample,2020-08-19 00:00:00+00:00,2020-08-01
Kunena/Kunena-Forum,immortalwrt/immortalwrt,2019-08-09 00:00:00+00:00,2019-08-01
google/j2objc,material-components/material-components-android,2021-08-31 00:00:00+00:00,2021-08-01
nexe/nexe,justinfrankel/licecap,2021-09-26 00:00:00+00:00,2021-09-01
MetaCubeX/mihomo,adisonhuang/awesome-kotlin-android,2023-06-10 00:00:00+00:00,2023-06-01
beeradmoore/dlss-swapper,ffffffff0x/1earn,2024-02-11 00:00:00+00:00,2024-02-01
rumboalla/apkupdater,DroidKaigi/conference-app-2018,2019-11-29 00:00:00+00:00,2019-11-01
bytedeco/javacpp,fireice-uk/xmr-stak,2021-06-16 00:00:00+00:00,2021-06-01
StackExchange/StackExchange.Redis,didi/DoKit,2020-03-21 00:00:00+00:00,2020-03-01
jmespath/jmespath.php,altmann/FluentResults,2020-07-14 00:00:00+00:00,2020-07-01
201206030/novel-plus,ashishps1/awesome-leetcode-resources,2025-03-20 00:00:00+00:00,2025-03-01
TooTallNate/Java-WebSocket,hasherezade/pe-bear,2020-01-06 00:00:00+00:00,2020-01-01
taurusxin/ncmdump,devopsgroup-io/vagrant-hostmanager,2024-01-10 00:00:00+00:00,2024-01-01
graphql/dataloader,luontola/retrolambda,2022-03-25 00:00:00+00:00,2022-03-01
zombocom/wicked,helei112g/payment,2019-11-05 00:00:00+00:00,2019-11-01
erincatto/box2d,sephiroth74/android-target-tooltip,2021-12-29 00:00:00+00:00,2021-12-01
google/sentencepiece,Yorko/mlcourse.ai,2022-05-31 00:00:00+00:00,2022-05-01
matthiasmullie/minify,apple/ml-stable-diffusion,2022-03-15 00:00:00+00:00,2022-03-01
oklog/ulid,symfony/polyfill-intl-idn,2020-09-22 00:00:00+00:00,2020-09-01
